class
elephant
alpaca
bison
anteater
fox
armadillo
baboon
badger
whale
bear
camel
dolphin
giraffe
groundhog
highland cattle
horse
jackal
kangaroo
koala
manatee
mongoose
mountain goat
opossum
orangutan
otter
polar bear
porcupine
red panda
rhinoceros
seal
sea lion
snow leopard
squirrel
sugar glider
tapir
bat
vicuna
walrus
warthog
buffalo
weasel
wildebeest
wombat
yak
zebra
